STATE,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
ANDHRA PRADESH,H,H,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&6&7&8&9&10&11&12,1&2&3&4&5&6&7&8&9&10&11&12,1&2&3&4&5&6&7&8&9&10&11&12,1&2&3&4&5&6&7&8&9&10&11&12,1&2&3&4&5&6&7&8&9&10&11&12,1&2&3&4&5&6&7&8&9&10&11&12,1&2&3&4&5&6&7&8&9&10&11&12,1&2&3&4&5&6&7&8&9&10&11&12,1&2&3&4&5&6&7&8&9&10&11&12,1&2&3&4&5&6&7&8&9&10&11&12,1&2&3&4&5&6&7&8&9&10&11&12,1&2&3&4&5&6&7&8&9&10&11&12,1&2&3&4&5&6&7&8&9&10&11&12,1&2&3&4&5&6&7&8&9&10&11&12,1&2&3&4&5&6&7&8&9&10&11&12,1&2&3&4&5&6&7&8&9&10&11&12,1&2&3&4&5&6&7&8&11,1&2&3&4&5&6&7
ARUNACHAL PRADESH,H,H,1&3&8&11,1&3&8&11,1&3&8&11,1&3&8&11,1&3&8&11,1&3&8&11,1&3&8&11,1&3&8&11,1&3&8&11,1&3&8&11,1&3&8&11,1&3&8&11,1&8&11,1&8&11,1&8&11,1&8&11,1&11,1&3&8&11,1&3&8&11,1&3&8&11,1&3&8&11,1&3&8&11,1&3&8&11,1&3&4&8&11,1&11,1
ASSAM,H,H,1&3&8&11,1&3&8&11,1&3&8&11,1&3&8&11,1&3&8&11,1&3&8&11,1&3&8&11,1&3&8&11,1&3&8&11,1&3&8&11,1&3&8&11,1&3&8&11,1&8&11,1&8&11,1&8&11,1&8&11,1&11,1&3&8&11,1&3&8&11,1&3&8&11,1&3&8&11,1&3&8&11,1&3&8&11&12,1&3&8&11,1&3&8&11,1
BIHAR,H,H,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&11,1&5&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&12,1&5&8&11,1&8&11,1
CHANDIGARH,H,H,1&5&8&11,1&11,1&5&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11&12,1&4&5&8&10&12,2&5&8&10,1&8&11,1
CHHATTISGARH,H,H,1&5&8&11&12,1&5&6&8&9&10&11&12,1&5&6&8&9&10&11&12,1&5&6&8&9&10&11&12,1&5&6&8&10&11&12,1&5&6&8&10&11&12,1&5&8&10&11&12,1&5&8&10&11&12,1&5&6&8&10&11&12,1&5&6&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11&12,1&5&8&11,1&5&6&8&9&11,1&5&6&7&8&9&11&12,1&5&6&8&9&10&11&12,1&5&8&11&12,1&5&7&8&10&11&12,1&2&5&8&10&11&12,1&5&8&11&12,1&5&8&10&11&12,1&4&5&8&9&11,1&8&11,1
DADRA & NAGAR HAVELI,H,H,H,H,H,H,H,H,H,H,H,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8,1&5&8&11,1&11,1
DELHI,H,H,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11&12,1&5&8&10&12,1&8&11,1
DAMAN & DIU,H,H,H,H,H,H,H,H,H,H,H,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8,1&5&8&11,1&8&11,1
GOA,H,H,H,H,H,H,H,H,H,H,H,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&11,1
GUJARAT,H,H,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8,1&5&8&11,1&8&11,1
HARYANA,H,H,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11&12,4&5&8&10&12,5&8&10,1&8&11,1
HIMACHAL PRADESH,H,H,11,1&8&11,1&5&8&11,1&5&8&11,1&5&11,5&8&11,5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&7&8&11,1&5&8&11,1&8&11,1
JAMMU & KASHMIR,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5,H,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&8&11,1
JHARKHAND,H,H,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&8&11,1
KARNATAKA,H,H,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&4&5&8&11,1&8&11,1
KERALA,H,H,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&2&3&4&5&6&7&8&9&10&11&12,1&3&4&5&6&7&8&9&10&11&12,1&2&3&4&5&6&7&8&9&10&11&12,1&2&3&4&5&6&7&8&9&10&11&12,1&2&3&4&5&6&7&8&9&10&11&12,1&2&3&4&5&6&7&8&9&10&11&12,1&2&3&4&5&6&7&8&9&10&11&12,1&4&7&8&11,1&2&3&4&5&7&8&9&10&11&12,1&2&3&4&5&6&7&8&9&10&11&12,1
LADAKH,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
MADHYA PRADESH,H,H,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11&12,1&5&8&11,1&8&11,1
MAHARASHTRA,H,H,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8,1&5&8&11,1&8&11,1
MANIPUR,H,H,H,H,3,H,H,H,H,H,11,1,H,H,H,H,8&11,H,1&11,3,H,H,H,H,H,H,H,H
MEGHALAYA,H,H,1&3&8&11,1&3&8&11,1&3&8&11,1&3&8&11,1&3&8&11,1&3&8&11,1&3&8&11,1&3&8&11,1&3&8&11,1&3&8&11,1&3&8&11,1&3&8&11,1&8&11,1&8&11,1&8&11,1&8&11,1&11,1&3&8&11,1&3&8&11,1&3&8&11,1&3&8&11,1&3&8&11,1&3&8&11,1&3&8&11,1&11,1&8&9&10&11
MIZORAM,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
NAGALAND,1&3&11,1&8&11,3&11,3,3&8&11,1&8&11,3&8&11,1&3,H,3,H,H,H,3&8&11,1&8&11,1&8&11,8,1,11,3&11,1&3,1&3&8&11,1&3&8,1&3&11,11,1&3&8&11,1&11,1
ODISHA,H,1&4&8&11,1&4&8&11,1&4&8&11,1&4&8&11,1&4&8&11,1&4&8&11,1&4&8&11,1&4&8&11,1&4&8&11,1&4&8&11,1&4&8&11,1&4&8&11,1&4&8&11,1&4&8&11,1&4&8&11,1&4&8&11,1&4&5&8&11,1&4&5&8&11,1&4&5&8&11,1&4&5&8&11,1&4&5&8&11,1&4&5&8&11,1&4&5&8&11,1&4&6&7&8&9&10&12,1&4&5&8&11,1&8&11,1
PONDICHERRY,H,H,H,1&5&8&11,H,H,H,1&5&8&11,H,H,H,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&2&3&4&5&6&7&8&9&10&11&12,1&3&4&5&6&7&8&9&10&11&12,1&2&3&4&5&6&7&8&9&10&11&12,1&2&3&4&5&6&7&8&9&10&11&12,1&2&3&4&5&6&7&8&9&10&11&12,1&2&3&4&5&6&7&8&9&10&11&12,1&2&3&4&5&6&7&8&9&10&11&12,1&5&7&8&11,1&2&3&4&5&7&8&9&10&11&12,1&2&3&4&5&7&8&11,1
PUNJAB,H,H,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11&12,4&5&8&10&12,5&8&10,1&3&4&5&7&8&9&10&11&12,1
RAJASTHAN,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5,H,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&8&11,1
SIKKIM,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
TAMILNADU,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
TELANGANA,H,H,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&4&5&6&7&8&9&10&11&12,1&2&3&4&5&6&7&8&9&10&11&12,1&2&3&4&5&6&7&8&9&10&11&12,1&2&3&4&5&6&7&8&9&10&11&12,1&2&3&4&5&6&7&8&9&10&11&12,1&2&3&4&5&6&7&8&9&10&11&12,1&2&3&4&5&6&7&8&9&10&11&12,1&2&3&4&5&6&7&8&9&10&11&12,1&2&3&4&5&6&7&8&9&10&11&12,1&2&3&4&5&6&7&8&9&10&11&12,1&2&3&4&5&6&7&8&9&10&11&12,1&2&3&4&5&6&7&8&9&10&11&12,1&2&3&4&5&6&7&8&9&10&11&12,1&8&11,1
TRIPURA,H,H,1&3&8&11,1&3&8&11,1&3&8&11,1&3&8&11,1&3&8&11,1&3&8&11,1&3&8&11,1&3&8&11,1&3&8&11,1&3&8&11,1&3&8&11,1&3&8&11,1&8&11,1&8&11,1&8&11,1&8&11,1&11,1&3&8&11,1&3&8&11,1&3&8&11,1&3&8&11,1&3&8&11,1&3&8&11,1&3&8&11,1&8&11,1
UTTAR PRADESH,H,H,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&3&4&5&6&7&8&9&10&11&12,1&2&3&4&5&6&7&8&9&10&11&12,1&2&3&4&5&6&7&8&9&10&11
UTTARAKHAND,H,H,H,H,H,1&5&8&11,H,5&8&11,1&5,H,H,1&5&8&11,H,1&5&8,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&5&8&11,1&8&11,1
WEST BENGAL,H,H,1&4&8&11,1&4&8&11,1&4&8&11,1&4&8&11,1&4&8&11,1&4&8&11,1&4&8&11,1&4&8&11,1&4&8&11,1&4&8&11,1&4&8&11,1&4&8&11,1&4&8&11,1&4&8&11,1&4&8&11,1&4&8&11,1&4&11,1&4&8&11,1&4&8&11,1&4&8&11,1&4&8&11,1&4&8&11,1&4&8&11,1&4&8&11,1&8&11,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
